time,P,G(i),H_sun,T2m,WS10m,Int
20150122:0002,0,0,0,19.57,4.14,0
20150122:0102,0,0,0,19.08,4.07,0
20150122:0202,0,0,0,18.69,3.79,0
20150122:0302,0,0,0,18.32,3.45,0
20150122:0402,0,0,0,17.95,3.17,0
20150122:0502,199.98,50.68,11.82,18.37,2.55,0
20150122:0602,352.32,116.33,23.97,21.21,2.14,0
20150122:0702,1225.26,278.46,36.36,23.64,0.76,0
20150122:0802,2258.7,451.59,48.76,25.3,1.24,0
20150122:0902,3210.6,620.27,60.76,26.59,2.07,0
20150122:1002,3971.22,765.51,71.19,27.77,2.83,0
20150122:1102,4545.3,877.14,75.67,28.74,3.86,0
20150122:1202,4908.24,942.77,69.72,29.19,5.17,0
