time,P,G(i),H_sun,T2m,WS10m,Int
20200629:0702,280.44,64.26,11.37,12.66,3.86,0
20200629:0802,329.76,73.31,20.36,13.55,4.21,0
20200629:0902,1001.1,189.16,27.38,14.56,4.28,0
20200629:1002,670.92,133.38,31.71,15.38,4.34,0
20200629:1102,543.12,111.63,32.71,15.95,4.21,0
20200629:1202,684.36,136.22,30.22,16.06,3.52,0
20200629:1302,1155.48,225.21,24.64,16.18,2.9,0
20200629:1402,538.14,112.34,16.68,15.95,2,0
20200629:1502,114.36,33.49,7.04,15.87,1.45,0
20200629:1602,0,0,0,15.62,1.17,0
20200629:1702,0,0,0,15,1.38,0
20200629:1802,0,0,0,13.99,1.38,0
20200629:1902,0,0,0,13.96,1.24,0
20200629:2002,0,0,0,13.28,1.45,0
20200629:2102,0,0,0,12.32,1.79,0
20200629:2202,0,0,0,11.74,2.28,0
20200629:2302,0,0,0,11.27,2.55,0
20200630:0002,0,0,0,11.07,2.83,0
20200630:0102,0,0,0,10.95,2.97,0
20200630:0202,0,0,0,10.77,2.9,0
20200630:0302,0,0,0,10.52,2.69,0
20200630:0402,0,0,0,10.27,2.62,0
20200630:0502,0,0,0,10.04,2.48,0
20200630:0602,0,0,0,9.72,2.28,0
20200630:0702,145.44,38.92,11.38,10.65,1.93,0
20200630:0802,258.72,60.64,20.38,13.55,1.66,0
20200630:0902,276.48,64.26,27.42,15.06,1.52,0
20200630:1002,370.5,124.76,31.75,16.68,0.97,0
20200630:1102,861.12,213.5,32.77,17.95,0.41,0
20200630:1202,1207.08,266.21,30.28,18.67,0.34,0
20200630:1302,1285.14,274.44,24.71,18.89,0.76,0
20200630:1402,1051.86,228.44,16.75,18.73,1.38,0
20200630:1502,95.7,29.87,7.12,17.96,1.93,0
20200630:1602,0,0,0,16.72,2.28,0
20200630:1702,0,0,0,15.19,2.14,0
20200630:1802,0,0,0,13.37,1.93,0
20200630:1902,0,0,0,12.48,2,0
20200630:2002,0,0,0,12.13,1.79,0
20200630:2102,0,0,0,11.45,1.72,0
20200630:2202,0,0,0,10.74,1.72,0
20200630:2302,0,0,0,10.59,1.52,0
20200701:0002,0,0,0,11.48,1.24,0
20200701:0102,0,0,0,11.91,1.03,0
20200701:0202,0,0,0,12.05,0.97,0
20200701:0302,0,0,0,12.23,0.97,0
20200701:0402,0,0,0,12.47,1.03,0
20200701:0502,0,0,0,12.57,1.1,0
20200701:0602,0,0,0,12.36,1.17,0
20200701:0702,197.16,48.87,11.4,11.42,0.76,0
20200701:0802,370.14,80.55,20.41,12.84,0.48,0
20200701:0902,386.88,84.17,27.45,14.63,0.14,0
20200701:1002,417.06,131.56,31.8,15.74,0.21,0
20200701:1102,923.82,220.34,32.83,16.56,0.48,0
20200701:1202,1283.94,271.88,30.36,17.1,1.52,0
20200701:1302,1328.52,275.1,24.79,17.3,2.69,0
20200701:1402,1075.2,228.87,16.83,16.93,2.97,0
20200701:1502,118.62,34.39,7.19,16.36,2.69,0
20200701:1602,0,0,0,15.28,2.83,0
20200701:1702,0,0,0,14.27,2.83,0
20200701:1802,0,0,0,13.06,2.69,0
20200701:1902,0,0,0,12.6,2.62,0
20200701:2002,0,0,0,11.65,2.55,0
20200701:2102,0,0,0,11.09,2.62,0
20200701:2202,0,0,0,10.69,2.41,0
20200701:2302,0,0,0,10.6,2,0
20200702:0002,0,0,0,12.14,1.31,0
20200702:0102,0,0,0,12.56,0.69,0
20200702:0202,0,0,0,12.04,0.83,0
20200702:0302,0,0,0,9.9,1.52,0
20200702:0402,0,0,0,9.38,1.66,0
20200702:0502,0,0,0,8.99,1.79,0
20200702:0602,0,0,0,10.01,2.34,0
20200702:0702,192.84,47.97,11.41,11.35,3.38,0
20200702:0802,592.26,118.56,20.44,12.61,3.72,0
20200702:0902,795.24,153.86,27.5,14.04,4.14,0
20200702:1002,946.38,180.78,31.86,15.36,4.55,0
20200702:1102,750.48,147.57,32.9,16.3,4.48,0
20200702:1202,972.06,186.45,30.44,16.67,4.34,0
20200702:1302,385.5,84.19,24.87,16.57,4.07,0
20200702:1402,1061.64,225.4,16.91,16.85,3.24,0
20200702:1502,96.42,29.87,7.27,16.63,2.34,0
20200702:1602,0,0,0,15.92,2.07,0
20200702:1702,0,0,0,14.75,1.79,0
20200702:1802,0,0,0,14.63,1.17,0
20200702:1902,0,0,0,15.18,0.34,0
20200702:2002,0,0,0,14.8,0.83,0
20200702:2102,0,0,0,14.46,0.97,0
20200702:2202,0,0,0,13.92,1.03,0
20200702:2302,0,0,0,13.08,1.24,0
20200703:0002,0,0,0,13.61,0.9,0
20200703:0102,0,0,0,13.38,0.97,0
20200703:0202,0,0,0,11.92,1.45,0
20200703:0302,0,0,0,11.97,1.38,0
20200703:0402,0,0,0,12.66,1.24,0
20200703:0502,0,0,0,12.6,1.1,0
20200703:0602,0,0,0,12.3,0.83,0
20200703:0702,183.72,46.16,11.44,10.4,1.17,0
20200703:0802,289.5,66.07,20.47,12.78,0.97,0
20200703:0902,337.02,75.12,27.55,14.53,0.97,0
20200703:1002,408.12,131.39,31.93,15.55,0.97,0
20200703:1102,954.42,224.67,32.98,15.96,0.76,0
20200703:1202,1298.28,275.77,30.52,16.32,0.76,0
20200703:1302,1347.66,280.89,24.96,16.62,0.76,0
20200703:1402,1091.28,232.04,17,16.6,0.76,0
20200703:1502,118.74,34.39,7.35,16.04,1.66,0
20200703:1602,0,0,0,14.69,2.21,0
20200703:1702,0,0,0,13.25,1.17,0
20200703:1802,0,0,0,13,1.24,0
20200703:1902,0,0,0,11.01,1.93,0
20200703:2002,0,0,0,13.43,0.97,0
20200703:2102,0,0,0,13.03,0.55,0
20200703:2202,0,0,0,12.56,0.48,0
20200703:2302,0,0,0,11.88,1.1,0
20200704:0002,0,0,0,9.4,1.79,0
20200704:0102,0,0,0,8.52,2.07,0
20200704:0202,0,0,0,9.08,1.93,0
20200704:0302,0,0,0,8.25,2,0
20200704:0402,0,0,0,8.03,1.86,0
20200704:0502,0,0,0,7.76,1.79,0
20200704:0602,0,0,0,8.58,1.86,0
20200704:0702,282.96,64.26,11.47,10.52,1.86,0
20200704:0802,673.08,133.04,20.51,13.37,2.21,0
20200704:0902,470.04,98.65,27.61,14.96,2.55,0
20200704:1002,574.56,152.18,32,16.11,3.1,0
20200704:1102,990.66,226.62,33.07,16.7,3.79,0
20200704:1202,1268.94,271.83,30.61,17.02,4.28,0
20200704:1302,1347.24,277.12,25.05,17.02,4.41,0
20200704:1402,1045.98,217.8,17.09,16.89,4.14,0
20200704:1502,145.8,39.82,7.44,16.4,3.24,0
20200704:1602,0,0,0,15.53,2.97,0
20200704:1702,0,0,0,14.59,3.24,0
20200704:1802,0,0,0,13.88,3.24,0
20200704:1902,0,0,0,13.49,3.24,0
20200704:2002,0,0,0,12.98,3.45,0
20200704:2102,0,0,0,12.94,3.86,0
20200704:2202,0,0,0,12.75,4.21,0
20200704:2302,0,0,0,12.67,4.28,0
20200705:0002,0,0,0,12.7,4.34,0
20200705:0102,0,0,0,12.74,4.34,0
20200705:0202,0,0,0,13,4.21,0
20200705:0302,0,0,0,13.37,4.07,0
20200705:0402,0,0,0,13.64,4,0
20200705:0502,0,0,0,13.62,3.86,0
20200705:0602,0,0,0,13.67,3.93,0
20200705:0702,303.78,68.78,11.5,13.94,4,0
20200705:0802,518.82,106.8,20.56,14.57,4.21,0
20200705:0902,895.8,171.96,27.67,15.52,4.34,0
20200705:1002,1213.98,235.47,32.08,16.36,4.28,0
20200705:1102,1337.82,264,33.16,17.22,4.41,0
20200705:1202,1406.7,275.49,30.71,17.47,3.86,0
20200705:1302,1264.86,247.92,25.15,17.55,3.38,0
20200705:1402,859.98,175.6,17.18,17.61,2.83,0
20200705:1502,118.08,34.39,7.53,17.04,1.59,0
20200705:1602,0,0,0,16.47,0.9,0
20200705:1702,0,0,0,15.47,0.9,0
20200705:1802,0,0,0,14.79,1.03,0
20200705:1902,0,0,0,14.3,0.69,0
20200705:2002,0,0,0,13.84,0.83,0
20200705:2102,0,0,0,13.25,1.17,0
20200705:2202,0,0,0,12.25,1.38,0
20200705:2302,0,0,0,11.64,1.31,0
20200706:0002,0,0,0,12.05,1.17,0
20200706:0102,0,0,0,12.06,0.9,0
20200706:0202,0,0,0,11.75,0.69,0
20200706:0302,0,0,0,11.32,0.62,0
20200706:0402,0,0,0,11.1,0.55,0
20200706:0502,0,0,0,10.95,0.83,0
20200706:0602,0,0,0,9.98,1.24,0
20200706:0702,344.52,75.12,11.54,10.41,1.93,0
20200706:0802,727.14,141.19,20.62,11.47,2.07,0
20200706:0902,669.9,132.14,27.74,12.71,2.21,0
20200706:1002,444.48,136.18,32.17,13.73,2.48,0
20200706:1102,978.06,226.73,33.26,14.65,2.69,0
20200706:1202,1330.14,278.48,30.82,15.52,3.31,0
20200706:1302,1391.04,282.9,25.25,16.15,4.28,0
20200706:1402,1118.94,232.78,17.28,16.25,4.55,0
20200706:1502,118.86,34.39,7.62,16.05,4.14,0
20200706:1602,0,0,0,15.47,3.86,0
20200706:1702,0,0,0,15.24,3.93,0
20200706:1802,0,0,0,14.9,4.21,0
20200706:1902,0,0,0,14.86,3.86,0
20200706:2002,0,0,0,14.65,3.86,0
20200706:2102,0,0,0,14.33,4.9,0
20200706:2202,0,0,0,14.54,5.17,0
20200706:2302,0,0,0,14.66,5.38,0
20200707:0002,0,0,0,14.57,5.59,0
20200707:0102,0,0,0,14.36,6.07,0
20200707:0202,0,0,0,13.82,6.34,0
20200707:0302,0,0,0,13.4,5.79,0
20200707:0402,0,0,0,12.82,4.9,0
20200707:0502,0,0,0,12.45,4.28,0
20200707:0602,0,0,0,11.91,3.52,0
20200707:0702,220.56,53.4,11.59,12.74,2.69,0
20200707:0802,298.32,67.88,20.68,14.03,2.9,0
20200707:0902,383.82,83.27,27.82,14.56,3.38,0
20200707:1002,1191.12,234.37,32.26,14.88,3.72,0
20200707:1102,1021.26,232.12,33.36,15.05,3.79,0
20200707:1202,1350.3,281.69,30.92,15.2,3.52,0
20200707:1302,1417.14,288.05,25.36,15.26,3.52,0
20200707:1402,1170.96,243.86,17.38,15.09,4,0
20200707:1502,115.44,33.49,7.72,14.42,4.34,0
20200707:1602,0,0,0,13.28,4.69,0
20200707:1702,0,0,0,12.57,4.48,0
20200707:1802,0,0,0,12.1,4.07,0
20200707:1902,0,0,0,11.75,3.86,0
20200707:2002,0,0,0,11.34,3.86,0
20200707:2102,0,0,0,10.91,3.72,0
20200707:2202,0,0,0,10.3,3.38,0
20200707:2302,0,0,0,9.65,3.17,0
20200708:0002,0,0,0,9.05,2.9,0
20200708:0102,0,0,0,8.27,2.62,0
20200708:0202,0,0,0,7.42,2.41,0
20200708:0302,0,0,0,6.86,2.21,0
20200708:0402,0,0,0,6.61,2,0
20200708:0502,0,0,0,6.53,1.86,0
20200708:0602,0,0,0,6.63,1.72,0
20200708:0702,182.64,45.25,11.64,6.53,2,0
20200708:0802,327.72,72.41,20.74,11.2,1.79,0
20200708:0902,348.24,76.93,27.9,14.1,1.59,0
20200708:1002,457.62,142.07,32.36,16.32,1.38,0
20200708:1102,990.96,235.62,33.47,17.94,1.38,0
20200708:1202,1365.12,292.02,31.04,18.98,1.38,0
20200708:1302,1440.72,301.09,25.47,19.5,1.17,0
20200708:1402,1186.14,253.53,17.49,19.49,0.55,0
20200708:1502,78.24,26.25,7.82,19.04,0.76,0
20200708:1602,0,0,0,17.56,0.9,0
20200708:1702,0,0,0,15.41,1.45,0
20200708:1802,0,0,0,11.74,2.41,0
20200708:1902,0,0,0,11.75,2,0
20200708:2002,0,0,0,10.57,2.76,0
20200708:2102,0,0,0,10.98,3.52,0
20200708:2202,0,0,0,12.25,4.62,0
20200708:2302,0,0,0,13.69,5.52,0
20200709:0002,0,0,0,14.31,6.62,0
20200709:0102,0,0,0,15.32,8.14,0
20200709:0202,0,0,0,15.89,8.9,0
20200709:0302,0,0,0,15.82,9.45,0
20200709:0402,0,0,0,15.35,9.72,0
20200709:0502,0,0,0,14.93,9.86,0
20200709:0602,0,0,0,14.78,10.41,0
20200709:0702,55.56,20.82,11.69,14.81,10.69,0
20200709:0802,184.56,47.06,20.81,15.4,11.86,0
20200709:0902,277.14,64.26,27.99,15.59,10.62,0
20200709:1002,200.52,50.14,32.47,15.7,10.62,0
20200709:1102,935.64,177.42,33.59,15,11.03,0
20200709:1202,390.72,84.19,31.16,14.52,9.79,0
20200709:1302,624.72,124.56,25.59,14.3,8.69,0
20200709:1402,104.64,31.22,17.6,13.96,7.86,0
20200709:1502,107.22,31.68,7.92,13.37,8.14,0
20200709:1602,0,0,0,13.15,7.31,0
20200709:1702,0,0,0,12.96,6.41,0
20200709:1802,0,0,0,12.67,5.59,0
20200709:1902,0,0,0,12.81,5.72,0
20200709:2002,0,0,0,12.87,5.59,0
20200709:2102,0,0,0,12.67,5.31,0
20200709:2202,0,0,0,12.47,4.83,0
20200709:2302,0,0,0,12.18,4.21,0
20200710:0002,0,0,0,11.8,3.66,0
20200710:0102,0,0,0,11.42,3.17,0
20200710:0202,0,0,0,11.28,3.24,0
20200710:0302,0,0,0,11.11,4,0
20200710:0402,0,0,0,10.89,4.9,0
20200710:0502,0,0,0,10.73,5.52,0
20200710:0602,0,0,0,10.64,5.93,0
20200710:0702,213.18,51.59,11.75,10.86,6.14,0
20200710:0802,458.64,95.03,20.89,11.56,6.48,0
20200710:0902,553.86,111.32,28.09,11.74,6.9,0
20200710:1002,751.26,144.73,32.58,12.07,7.1,0
20200710:1102,1364.94,251.02,33.71,12.29,6.62,0
20200710:1202,504.36,103.11,31.29,12.35,7.59,0
20200710:1302,388.26,83.25,25.71,12.69,6.62,0
20200710:1402,580.98,117.18,17.72,12.56,6.62,0
20200710:1502,154.26,40.73,8.03,11.91,7.1,0
20200710:1602,0,0,0,11.17,5.52,0
20200710:1702,0,0,0,10.28,4.14,0
20200710:1802,0,0,0,10.03,4.21,0
20200710:1902,0,0,0,10.62,5.59,0
20200710:2002,0,0,0,10.95,5.31,0
20200710:2102,0,0,0,10.42,6.55,0
20200710:2202,0,0,0,10.95,6.21,0
20200710:2302,0,0,0,10.4,6.9,0
20200711:0002,0,0,0,10.66,6.48,0
20200711:0102,0,0,0,10.5,8.21,0
20200711:0202,0,0,0,10.72,8.34,0
20200711:0302,0,0,0,10.85,7.24,0
20200711:0402,0,0,0,11.08,6.9,0
20200711:0502,0,0,0,11.44,6.41,0
20200711:0602,0,0,0,11.52,5.66,0
20200711:0702,144.72,38.92,11.82,11.89,5.03,0
20200711:0802,275.58,63.35,20.98,12.6,4.21,0
20200711:0902,274.68,63.35,28.19,13.29,4.48,0
20200711:1002,743.34,176.77,32.7,13.65,4,0
20200711:1102,1137.3,245.09,33.84,13.83,3.86,0
20200711:1202,1455.84,289.51,31.42,13.96,3.86,0
20200711:1302,1469.94,292.82,25.84,14.11,3.93,0
20200711:1402,1220.52,249.88,17.84,14.04,3.66,0
20200711:1502,190.5,47.97,8.14,13.7,3.03,0
20200711:1602,0,0,0,13.14,2.62,0
20200711:1702,0,0,0,12.34,2.55,0
20200711:1802,0,0,0,11.67,2.69,0
20200711:1902,0,0,0,11.36,3.45,0
20200711:2002,0,0,0,11.17,4,0
20200711:2102,0,0,0,10.82,4.55,0
20200711:2202,0,0,0,10.49,4.76,0
20200711:2302,0,0,0,10.19,4.62,0
20200712:0002,0,0,0,9.8,4.34,0
20200712:0102,0,0,0,9.52,4.28,0
20200712:0202,0,0,0,9.28,4.28,0
20200712:0302,0,0,0,9.05,4.14,0
20200712:0402,0,0,0,8.83,4,0
20200712:0502,0,0,0,8.65,3.93,0
20200712:0602,0,0,0,8.49,3.79,0
20200712:0702,190.08,47.06,11.89,9.21,3.72,0
20200712:0802,312.66,69.69,21.07,11.4,3.66,0
20200712:0902,371.46,80.55,28.3,13.12,4.28,0
20200712:1002,492,145.91,32.82,14.36,5.24,0
20200712:1102,1037.88,236.58,33.98,15.38,6.28,0
20200712:1202,1413.96,291.21,31.56,16.21,6.97,0
20200712:1302,1486.8,298.84,25.97,16.67,7.17,0
20200712:1402,1233.84,253.7,17.96,16.6,7.45,0
20200712:1502,132.6,37.11,8.25,15.99,7.59,0
20200712:1602,0,0,0,15.07,7.93,0
20200712:1702,0,0,0,14.24,8.62,0
20200712:1802,0,0,0,13.57,9.03,0
20200712:1902,0,0,0,13.48,9.24,0
20200712:2002,0,0,0,13.34,9.52,0
20200712:2102,0,0,0,13.52,10.28,0
20200712:2202,0,0,0,13.47,11.31,0
20200712:2302,0,0,0,13.7,12.55,0
20200713:0002,0,0,0,13.72,12.83,0
20200713:0102,0,0,0,13.75,12.62,0
20200713:0202,0,0,0,12.71,12.9,0
20200713:0302,0,0,0,12.03,12.34,0
20200713:0402,0,0,0,11.59,12.48,0
20200713:0502,0,0,0,12.07,11.86,0
20200713:0602,0,0,0,11.65,12.28,0
20200713:0702,217.38,52.49,11.97,11.87,12.21,0
20200713:0802,618.6,122.18,21.16,12.07,11.31,0
20200713:0902,443.52,92.32,28.41,11.68,11.17,0
20200713:1002,1189.02,232.72,32.95,12.07,11.17,0
20200713:1102,1400.34,255.83,34.12,12.52,10.83,0
20200713:1202,1534.98,292.64,31.7,12.62,10.62,0
20200713:1302,1491.78,285.29,26.11,12.64,10.62,0
20200713:1402,1306.92,264.6,18.09,12.35,9.93,0
20200713:1502,197.46,48.87,8.37,12.02,9.59,0
20200713:1602,0,0,0,11.69,8.76,0
20200713:1702,0,0,0,11.26,8.83,0
20200713:1802,0,0,0,11.02,7.86,0
20200713:1902,0,0,0,10.66,6.9,0
20200713:2002,0,0,0,10.54,6.48,0
20200713:2102,0,0,0,10.03,7.1,0
20200713:2202,0,0,0,10,6.9,0
20200713:2302,0,0,0,9.68,6.97,0
20200714:0002,0,0,0,9.8,6.48,0
20200714:0102,0,0,0,9.89,6.28,0
20200714:0202,0,0,0,9.7,6.55,0
20200714:0302,0,0,0,9.41,6.41,0
20200714:0402,0,0,0,9.46,5.45,0
20200714:0502,0,0,0,9.52,4.62,0
20200714:0602,0,0,0,9.73,4.07,0
20200714:0702,150.42,39.82,12.06,10.56,3.79,0
20200714:0802,735.18,142.1,21.26,11.37,3.79,0
20200714:0902,373.32,80.55,28.53,12.03,3.79,0
20200714:1002,855.66,192.62,33.09,12.27,3.31,0
20200714:1102,1217.46,255.8,34.27,12.61,3.17,0
20200714:1202,1473.12,296.95,31.85,12.75,2.97,0
20200714:1302,1383.78,262.13,26.25,12.94,2.69,0
20200714:1402,1187.64,237.2,18.22,12.98,2,0
20200714:1502,102.84,30.77,8.49,12.72,0.69,0
20200714:1602,0,0,0,12.13,0.55,0
20200714:1702,0,0,0,10.55,1.38,0
20200714:1802,0,0,0,9.39,2.14,0
20200714:1902,0,0,0,8.48,2.83,0
20200714:2002,0,0,0,8.02,3.03,0
20200714:2102,0,0,0,7.73,3.1,0
20200714:2202,0,0,0,7.52,3.17,0
20200714:2302,0,0,0,7.3,3.24,0
20200715:0002,0,0,0,7,3.03,0
20200715:0102,0,0,0,6.89,3.24,0
20200715:0202,0,0,0,6.99,3.72,0
20200715:0302,0,0,0,6.68,2.97,0
20200715:0402,0,0,0,6.24,2.9,0
20200715:0502,0,0,0,5.92,2.9,0
20200715:0602,0,0,0,5.67,2.76,0
20200715:0702,147.9,38.92,12.14,7.55,2.83,0
20200715:0802,328.32,72.41,21.37,11.03,2.69,0
20200715:0902,397.2,85.08,28.66,12.85,2.83,0
20200715:1002,538.74,153.4,33.24,14.09,3.72,0
20200715:1102,1087.08,243.51,34.42,14.85,3.79,0
20200715:1202,1455.9,296.6,32,15.22,2.48,0
20200715:1302,1516.14,307.05,26.39,15.36,1.66,0
20200715:1402,1269.72,261.4,18.35,15.25,1.03,0
20200715:1502,151.38,40.73,8.61,14.91,1.03,0
20200715:1602,0,0,0,14.28,0.48,0
20200715:1702,0,0,0,13.29,1.1,0
20200715:1802,0,0,0,9.53,2.41,0
20200715:1902,0,0,0,8.7,2.62,0
20200715:2002,0,0,0,8.69,2.48,0
20200715:2102,0,0,0,9.25,2.07,0
20200715:2202,0,0,0,9.09,1.86,0
20200715:2302,0,0,0,8.24,1.79,0
20200716:0002,0,0,0,7.23,2,0
20200716:0102,0,0,0,6.78,2.14,0
20200716:0202,0,0,0,6.42,2.28,0
20200716:0302,0,0,0,6.19,2.34,0
20200716:0402,0,0,0,6.1,2.34,0
20200716:0502,0,0,0,6.05,2.21,0
20200716:0602,0,0,0,5.65,2.07,0
20200716:0702,191.82,47.06,12.24,7.19,1.93,0
20200716:0802,310.86,69.69,21.48,12.15,1.66,0
20200716:0902,347.04,76.93,28.79,14.78,1.59,0
20200716:1002,540.66,156.4,33.39,16.49,1.52,0
20200716:1102,1072.08,246.83,34.58,17.62,1.45,0
20200716:1202,1449.54,303.04,32.16,18.32,1.45,0
20200716:1302,1525.68,311.1,26.54,18.69,1.59,0
20200716:1402,1284.06,266.72,18.49,18.78,1.66,0
20200716:1502,130.74,37.11,8.73,18.19,1.66,0
20200716:1602,0,0,0,16.41,1.72,0
20200716:1702,0,0,0,14.02,1.66,0
20200716:1802,0,0,0,13.8,1.45,0
20200716:1902,0,0,0,10.19,2.28,0
20200716:2002,0,0,0,9.62,2.07,0
20200716:2102,0,0,0,8.5,2.07,0
20200716:2202,0,0,0,7.46,2.07,0
20200716:2302,0,0,0,6.77,2.14,0
20200717:0002,0,0,0,6.44,2.14,0
20200717:0102,0,0,0,6.12,2.14,0
20200717:0202,0,0,0,6.08,2.14,0
20200717:0302,0,0,0,6,2.14,0
20200717:0402,0,0,0,5.93,2.07,0
20200717:0502,0,0,0,5.81,2.07,0
20200717:0602,0,0,0,5.64,2.14,0
20200717:0702,211.98,50.68,12.34,6.94,2,0
20200717:0802,340.86,75.12,21.6,12.55,1.86,0
20200717:0902,410.16,88.7,28.93,16.45,2.21,0
20200717:1002,576.66,163.14,33.54,18.9,2.76,0
20200717:1102,1117.68,254.44,34.75,20.31,3.38,0
20200717:1202,1485.3,309.43,32.33,20.99,3.86,0
20200717:1302,1553.7,315.59,26.7,21.24,4.14,0
20200717:1402,1303.5,269.43,18.63,21.02,4.9,0
20200717:1502,170.58,45.25,8.86,20.02,4.97,0
20200717:1602,0,0,0,18.3,4.62,0
20200717:1702,0,0,0,16.9,4.48,0
20200717:1802,0,0,0,15.88,4.34,0
20200717:1902,0,0,0,15.32,4.34,0
20200717:2002,0,0,0,14.45,4.34,0
20200717:2102,0,0,0,13.85,4.48,0
20200717:2202,0,0,0,13.32,4.62,0
20200717:2302,0,0,0,12.97,4.83,0
20200718:0002,0,0,0,12.86,5.1,0
20200718:0102,0,0,0,12.93,5.31,0
20200718:0202,0,0,0,12.88,5.24,0
20200718:0302,0,0,0,12.66,4.9,0
20200718:0402,0,0,0,12.34,4.62,0
20200718:0502,0,0,0,12.03,4.62,0
20200718:0602,0,0,0,11.76,4.34,0
20200718:0702,230.64,55.21,12.44,12.72,4.21,0
20200718:0802,373.92,81.46,21.73,14.52,4.07,0
20200718:0902,437.22,93.22,29.08,16.23,4.41,0
20200718:1002,614.46,166.63,33.71,17.07,4.62,0
20200718:1102,1141.98,253.95,34.92,17.32,4.41,0
20200718:1202,1508.64,307.58,32.5,17.26,3.86,0
20200718:1302,1573.14,314.19,26.86,17.09,3.1,0
20200718:1402,1319.16,268.89,18.77,16.8,2.28,0
20200718:1502,154.92,41.63,8.99,16.26,1.31,0
20200718:1602,0,0,0,15.57,1.1,0
20200718:1702,0,0,0,14.2,1.24,0
20200718:1802,0,0,0,13.3,1.31,0
20200718:1902,0,0,0,13.06,1.31,0
20200718:2002,0,0,0,11.97,1.52,0
20200718:2102,0,0,0,10.85,1.72,0
20200718:2202,0,0,0,9.98,1.93,0
20200718:2302,0,0,0,9.25,2.14,0
20200719:0002,0,0,0,8.96,2.41,0
20200719:0102,0,0,0,9,2.69,0
20200719:0202,0,0,0,9.17,2.97,0
20200719:0302,0,0,0,9.26,3.03,0
20200719:0402,0,0,0,9.25,2.97,0
20200719:0502,0,0,0,9.08,2.76,0
20200719:0602,0,0,0,8.68,2.55,0
20200719:0702,208.74,50.68,12.56,9.96,2.21,0
20200719:0802,330.3,73.31,21.86,12.79,2,0
20200719:0902,162.54,45.51,29.23,14.89,1.93,0
20200719:1002,592.56,165.33,33.88,16.58,1.86,0
20200719:1102,1144.86,257.1,35.1,17.71,1.93,0
20200719:1202,1515.66,312.53,32.67,18.25,2.34,0
20200719:1302,1600.32,321.14,27.02,18.3,2.97,0
20200719:1402,1345.56,273.33,18.92,17.87,3.52,0
20200719:1502,159.3,42.54,9.12,16.91,3.52,0
20200719:1602,0,0,0,15.48,3.66,0
20200719:1702,0,0,0,14.33,3.72,0
20200719:1802,0,0,0,13.55,3.86,0
20200719:1902,0,0,0,13.27,3.93,0
20200719:2002,0,0,0,12.75,4.07,0
20200719:2102,0,0,0,12.34,4.07,0
20200719:2202,0,0,0,12.02,4.07,0
20200719:2302,0,0,0,11.71,4,0
20200720:0002,0,0,0,11.37,3.86,0
20200720:0102,0,0,0,11.01,3.72,0
20200720:0202,0,0,0,10.48,3.45,0
20200720:0302,0,0,0,9.99,3.24,0
20200720:0402,0,0,0,9.7,3.03,0
20200720:0502,0,0,0,9.58,2.83,0
20200720:0602,0,0,0,9.61,2.62,0
20200720:0702,223.62,53.4,12.67,9.94,2.28,0
20200720:0802,330.9,73.31,21.99,12.45,2.14,0
20200720:0902,209.28,56.13,29.39,14.92,2.21,0
20200720:1002,623.7,170.41,34.05,16.86,2.28,0
20200720:1102,1167.24,260.99,35.28,18.05,2.34,0
20200720:1202,1540.8,316.83,32.85,18.75,2.41,0
20200720:1302,1619.28,325.64,27.19,19.07,2.69,0
20200720:1402,1360.08,277.66,19.07,18.99,2.69,0
20200720:1502,157.98,42.54,9.25,18.38,2.55,0
20200720:1602,0,0,0,17.27,2.55,0
20200720:1702,0,0,0,15.28,2.34,0
20200720:1802,0,0,0,13.22,2.28,0
20200720:1902,0,0,0,11.65,2.48,0
20200720:2002,0,0,0,10.42,2.41,0
20200720:2102,0,0,0,9.4,2.41,0
20200720:2202,0,0,0,8.82,2.28,0
20200720:2302,0,0,0,8.49,2.28,0
20200721:0002,0,0,0,8.31,2.28,0
20200721:0102,0,0,0,8.27,2.41,0
20200721:0202,0,0,0,8.59,2.69,0
20200721:0302,0,0,0,9.07,2.97,0
20200721:0402,0,0,0,9.37,3.03,0
20200721:0502,0,0,0,9.35,2.76,0
20200721:0602,0,0,0,9.39,2.83,0
20200721:0702,217.44,52.49,12.79,11.16,2.9,0
20200721:0802,347.46,76.93,22.14,14.92,3.24,0
20200721:0902,170.28,51.07,29.55,16.71,3.59,0
20200721:1002,607.8,168.73,34.23,17.7,3.79,0
20200721:1102,1174.2,261.06,35.47,18.16,3.79,0
20200721:1202,1551.9,316.47,33.04,18.19,3.52,0
20200721:1302,1635,326.29,27.36,17.87,3.03,0
20200721:1402,1385.52,280.8,19.22,17.41,2.48,0
20200721:1502,159.3,42.54,9.39,16.64,1.66,0
20200721:1602,0,0,0,15.59,1.03,0
20200721:1702,0,0,0,14.58,0.69,0
20200721:1802,0,0,0,14.11,0.62,0
20200721:1902,0,0,0,12.43,1.66,0
20200721:2002,0,0,0,11.23,1.93,0
20200721:2102,0,0,0,10.8,2,0
20200721:2202,0,0,0,11.05,1.72,0
20200721:2302,0,0,0,10.77,1.52,0
20200722:0002,0,0,0,10.22,1.38,0
20200722:0102,0,0,0,9.92,1.31,0
20200722:0202,0,0,0,8.98,1.45,0
20200722:0302,0,0,0,8.57,1.72,0
20200722:0402,0,0,0,9.09,1.79,0
20200722:0502,0,0,0,9.34,1.86,0
20200722:0602,0,0,0,9.34,1.79,0
20200722:0702,227.58,54.3,12.92,10.6,1.24,0
